ID,name,displayName,latitude,longitude,region,subregion
107,Malaysia,Malaysia,2.5,112.5,ASIA,
108,Maldives,Maldives,3.25,73,ASIA,
109,Mali,Mali,17,-4,AFRICA,
110,Malta,Malta,35.83,14.58,EUROPE,
111,Marshall Islands,Marshall Islands,9,168,OCEANIA,
112,Mauritania,Mauritania,20,-12,AFRICA,
113,Mauritius,Mauritius,-20.28,57.55,AFRICA,
114,Mexico,Mexico,23,-102,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
115,Micronesia,Micronesia,6.92,158.25,OCEANIA,
116,Moldova,Moldova,47,29,EUROPE,
117,Monaco,Monaco,43.73,7.4,EUROPE,
118,Mongolia,Mongolia,46,105,ASIA,EASTERN ASIA
119,Montenegro,Montenegro,42,19,EUROPE,
120,Morocco,Morocco,32,-5,AFRICA,NORTHERN AFRICA
121,Mozambique,Mozambique,-18.25,35,AFRICA,
122,Myanmar,Myanmar,22,98,ASIA,SOUTH-EASTERN ASIA
123,Namibia,Namibia,-22,17,AFRICA,
124,Nauru,Nauru,-0.53,166.92,OCEANIA,
125,Nepal,Nepal,28,84,ASIA,
126,Netherlands,Netherlands,52.5,5.75,EUROPE,
127,New Zealand,New Zealand,-41,174,OCEANIA,
128,Nicaragua,Nicaragua,13,-85,AMERICAS,
129,Niger,Niger,16,8,AFRICA,
130,Nigeria,Nigeria,10,8,AFRICA,SUB-SAHARAN AFRICA
131,Niue,Niue,-19.03,-169.87,OCEANIA,
132,Norway,Norway,62,10,EUROPE,NORTHERN EUROPE
133,Oman,Oman,21,57,MIDDLE EAST,
134,Pakistan,Pakistan,30,70,ASIA,
135,Palau,Palau,7.5,134.5,OCEANIA,
136,Palestine,Palestine,32,35.25,MIDDLE EAST,
137,Panama,Panama,9,-80,AMERICAS,
138,Papua New Guinea,Papua New Guinea,-6,147,OCEANIA,
139,Paraguay,Paraguay,-23,-58,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
140,Peru,Peru,-10,-76,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
141,Philippines,Philippines,13,122,ASIA,
142,Poland,Poland,52,20,EUROPE,EASTERN EUROPE
143,Portugal,Portugal,39.5,-8,EUROPE,SOUTHERN EUROPE
144,Qatar,Qatar,25.5,51.25,MIDDLE EAST,
145,South Korea,South Korea,37,127.5,ASIA,EASTERN ASIA
146,Romania,Romania,46,25,EUROPE,
147,Russia,Russia,60,100,EUROPE,EASTERN EUROPE
148,Rwanda,Rwanda,-2,30,AFRICA,SUB-SAHARAN AFRICA
149,Saint Kitts & Nevis,Saint Kitts & Nevis,17.33,-62.75,AMERICAS,
150,Saint Vincent & Grenadines,Saint Vincent & Grenadines,13.25,-61.2,AMERICAS,
151,Samoa,Samoa,-13.58,-172.33,OCEANIA,
152,San Marino,San Marino,43.77,12.42,EUROPE,
153,Sao Tome & Principe,Sao Tome & Principe,1,7,AFRICA,
154,Saudi Arabia,Saudi Arabia,25,45,MIDDLE EAST,MIDDLE EAST
155,Senegal,Senegal,14,-14,AFRICA,
156,Serbia,Serbia,44,21,EUROPE,SOUTHERN EUROPE
157,Seychelles,Seychelles,-4.58,55.67,AFRICA,
158,Sierra Leone,Sierra Leone,8.5,-11.5,AFRICA,
159,Singapore,Singapore,1.37,103.8,ASIA,
160,Slovakia,Slovakia,48.67,19.5,EUROPE,
161,Slovenia,Slovenia,46,15,EUROPE,
162,Solomon Islands,Solomon Islands,-8,159,OCEANIA,
163,Somalia,Somalia,10,49,AFRICA,
164,South Africa,South Africa,-29,24,AFRICA,SUB-SAHARAN AFRICA
165,South Sudan,South Sudan,,,AFRICA,
166,Spain,Spain,40,-4,EUROPE,SOUTHERN EUROPE
167,Sri Lanka,Sri Lanka,7,81,ASIA,SOUTHERN ASIA
168,Sudan,Sudan,15,30,AFRICA,NORTHERN AFRICA
169,Suriname,Suriname,4,-56,AMERICAS,
170,Swaziland,Swaziland,-26.5,31.5,AFRICA,
171,Sweden,Sweden,62,15,EUROPE,NORTHERN EUROPE
172,Switzerland,Switzerland,47,8,EUROPE,WESTERN EUROPE
173,Syria,Syria,35,38,MIDDLE EAST,MIDDLE EAST
174,Taiwan,Taiwan,23.5,121,ASIA,EASTERN ASIA
175,Tajikistan,Tajikistan,39,71,ASIA,CENTRAL ASIA
176,Tanzania,Tanzania,-6,35,AFRICA,
177,Thailand,Thailand,15,100,ASIA,SOUTH-EASTERN ASIA
178,Timor-Leste,Timor-Leste,,,ASIA,
179,Togo,Togo,8,1.17,AFRICA,
180,Tonga,Tonga,-20,-175,OCEANIA,
181,Trinidad & Tobago,Trinidad & Tobago,11,-61,AMERICAS,
182,Tunisia,Tunisia,34,9,AFRICA,NORTHERN AFRICA
183,Turkey,Turkey,39,35,ASIA,WESTERN ASIA
184,Turkmenistan,Turkmenistan,40,60,ASIA,
185,Tuvalu,Tuvalu,-8,178,OCEANIA,
186,Uganda,Uganda,1,32,AFRICA,SUB-SAHARAN AFRICA
187,Ukraine,Ukraine,49,32,EUROPE,EASTERN EUROPE
188,United Arab Emirates,UAE,24,54,MIDDLE EAST,MIDDLE EAST
189,United Kingdom,United Kingdom,54,-2,EUROPE,NORTHERN EUROPE
190,United States,United States,38,-97,AMERICAS,NORTHERN AMERICA
191,Uruguay,Uruguay,-33,-56,AMERICAS,
192,Uzbekistan,Uzbekistan,41,64,ASIA,CENTRAL ASIA
193,Vanuatu,Vanuatu,-16,167,OCEANIA,
194,Venezuela,Venezuela,8,-66,AMERICAS,LATIN AMERICA AND THE CARIBBEAN
195,Vietnam,Vietnam,14.1,108.3,ASIA,SOUTH-EASTERN ASIA
196,Yemen,Yemen,16.2,49,MIDDLE EAST,
197,Zambia,Zambia,-15,30,AFRICA,SUB-SAHARAN AFRICA
198,Zimbabwe,Zimbabwe,-20,30,AFRICA,
199,European Union,European Union,53,9,EUROPE,
200,British Virgin Islands,British Virgin Islands,18.4,-64.6,AMERICAS,
201,Bermuda,Bermuda,32.3,-64.8,AMERICAS,
202,Guernsey,Guernsey,49.4,-2.6,EUROPE,
203,South Vietnam,South Vietnam,10.8,106.6,ASIA,
204,Austria-Hungary,Austria-Hungary,48.2,16.4,EUROPE,
205,North Yemen,North Yemen,15.5,44,MIDDLE EAST,
206,Yugoslavia,Yugoslavia,44.8,20.4,EUROPE,
207,Czechoslovakia,Czechoslovakia,50.1,14.4,EUROPE,
208,Modena,Modena,44.6,10.9,EUROPE,
209,Tuscany,Tuscany,43.8,11.2,EUROPE,
210,Papal States,Papal States,41.7,13,EUROPE,
211,Two Sicilies,Two Sicilies,40.9,14.3,EUROPE,
212,Hanover,Hanover,52.4,9.7,EUROPE,
213,Mecklenburg Schwerin,Mecklenburg Schwerin,53.6,11.4,EUROPE,
214,Bavaria,Bavaria,48.8,11.5,EUROPE,
215,Wuerttemburg,Wuerttemburg,48.8,9.3,EUROPE,
216,Hesse Electoral,Hesse Electoral,51.3,9.5,EUROPE,
217,Hesse Grand Ducal,Hesse Grand Ducal,49.9,8.7,EUROPE,
218,Baden,Baden,48.8,8.2,EUROPE,
219,Saxony,Saxony,51.1,13.2,EUROPE,
220,West Germany,West Germany,50.7,7.1,EUROPE,
