node1,node2,signYear,EIFYear,endYearEstimated,type,category
190,30,1984,1984,2010,sector,PROCUREMENT
190,30,1994,1994,2010,general,DCA
190,30,1996,1996,2010,sector,PROCUREMENT
190,30,1996,1996,2010,sector,RESEARCH
190,30,1999,,2005,sector,PROCUREMENT
190,30,2002,,2008,general,DCA
190,36,2009,2009,2010,sector,RESEARCH
190,36,2009,2009,2010,general,DCA
190,23,1983,1984,2010,general,DIC
190,23,1984,1984,2010,general,DIC
190,23,2010,,2010,general,DCA
190,139,2006,,2010,general,DCA
190,34,1996,,2002,general,DCA
190,34,2008,2008,2010,sector,RESEARCH
190,6,1992,1992,2010,sector,TREX
190,6,1998,1998,2010,sector,RESEARCH
190,6,1999,,2010,sector,COMMISSION
190,6,2000,,2006,sector,RESEARCH
190,6,2008,,2010,sector,TREX
190,189,1988,1988,2010,sector,RESEARCH
190,189,1993,1993,2010,general,DCA
190,189,1994,1994,2010,sector,RESEARCH
190,189,1994,,2000,general,DIC
190,189,2000,2000,2010,sector,RESEARCH
190,189,2004,2004,2010,general,DIC
190,126,1998,1998,2010,sector,RESEARCH
190,103,2010,2010,2010,general,DIC
190,61,1994,1994,2010,sector,RESEARCH
190,172,1988,1988,2010,general,DIC
190,172,2007,2007,2010,general,DIC
190,166,1980,1980,2010,sector,RESEARCH
190,166,1982,1982,2010,general,DIC
190,166,1988,1989,2010,general,DCA
190,166,2002,,2008,general,DIC
190,166,2002,,2010,general,DCA
190,143,1995,1995,2010,general,DCA
190,65,1995,1995,2009,sector,RESEARCH
190,65,2009,2009,2010,sector,RESEARCH
190,142,1995,1995,2010,sector,RESEARCH
190,9,1991,1991,2010,sector,PROCUREMENT
190,77,1995,1995,2010,sector,RESEARCH
190,46,1996,1996,2006,sector,RESEARCH
190,46,2008,2008,2010,sector,RESEARCH
190,46,2009,2009,2010,sector,TREX
190,160,1994,,2000,sector,COMMISSION
190,160,1995,,2001,sector,PROCUREMENT
190,85,2006,2006,2010,sector,RESEARCH
190,85,2008,2009,2010,general,DIC
190,1,1993,,1999,general,DCA
190,1,2003,2003,2010,general,DCA
190,104,2004,2004,2010,general,DCA
190,43,1994,,2000,general,DCA
190,43,1995,,2001,sector,TREX
190,43,2003,2003,2010,general,DCA
190,206,2006,2009,2010,general,DCA
190,21,2005,2005,2010,general,DCA
190,21,2008,,2010,sector,TREX
190,161,1995,,2001,general,DCA
190,161,1999,2000,2010,general,DCA
190,67,1983,1983,2010,general,DCA
190,67,1986,1986,2010,general,DIC
190,67,1990,1990,2010,general,DCA
190,25,1994,,2000,general,DCA
190,25,2006,2006,2010,general,DCA
190,116,1995,1995,2010,general,DCA
190,116,1997,1997,2010,general,DCA
190,146,1998,2003,2010,general,DCA
190,57,2002,2002,2009,general,DCA
190,96,1995,,2001,general,DCA
190,102,1994,,2000,general,DCA
190,102,1997,1997,2010,sector,RESEARCH
190,102,2009,2010,2010,general,DCA
190,187,1993,1993,1999,general,DCA
190,187,2000,2001,2010,sector,RESEARCH
190,15,1993,,1999,sector,COMMISSION
190,7,2001,,2007,general,DCA
190,7,2002,,2008,general,DCA
190,7,2003,,2009,general,DCA
190,64,1997,1997,2010,general,DCA
190,64,1998,,2004,general,DCA
190,64,2002,2003,2010,general,DCA
190,64,2005,,2010,sector,TREX
190,10,1999,2003,2010,general,DCA
190,10,2000,,2006,general,DCA
190,10,2000,,2006,sector,TREX
190,10,2002,,2008,general,DCA
190,60,1991,,2009,general,DIC
190,60,1995,1995,2010,sector,RESEARCH
190,60,2005,,2010,general,DCA
190,60,2008,2009,2010,general,DIC
190,171,1987,1987,2010,general,DIC
190,171,1997,1997,2010,sector,RESEARCH
190,171,1997,1997,2010,sector,RESEARCH
190,171,1999,1999,2010,sector,TREX
190,47,1980,1980,2010,general,DIC
190,18,1996,1996,2010,sector,COMMISSION
190,62,2006,,2010,sector,TREX
190,148,2004,,2010,sector,TREX
190,197,1992,,1998,sector,TREX
190,164,2001,2001,2010,sector,RESEARCH
190,120,1982,,1988,sector,COMMISSION
190,2,2010,,2010,general,DCA
190,183,1980,1980,2010,general,DIC
190,183,1980,1980,2010,general,DCA
190,183,1981,,1987,sector,COMMISSION
190,183,1982,,1988,general,DCA
190,53,1988,1988,2010,general,DIC
190,173,1998,1998,2010,sector,RESEARCH
190,84,1987,1987,2010,general,DIC
190,84,1988,1988,2010,sector,COMMISSION
190,84,1989,1989,1994,sector,RESEARCH
190,84,1996,1996,2010,sector,RESEARCH
190,84,1998,,2004,general,DCA
190,154,1982,,1988,sector,COMMISSION
190,154,1999,,2005,sector,TREX
190,196,2009,,2010,sector,TREX
190,93,1991,,2001,general,DCA
190,12,1991,,1997,general,DCA
190,144,1992,,1998,general,DCA
190,188,1994,,2000,general,DCA
190,192,1998,,2004,general,DCA
190,192,2000,,2006,general,DCA
190,192,2001,2001,2010,general,DCA
190,192,2009,,2010,sector,TREX
190,89,1996,,2002,sector,COMMISSION
